#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.01Z,2576,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.02Z,2605,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.03Z,2648,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.04Z,2712,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.05Z,2765,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.06Z,2868,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.07Z,2937,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.08Z,2976,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.09Z,2984,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.1Z,2969,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.11Z,2973,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.12Z,2984,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.13Z,3021,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.14Z,3093,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.15Z,3153,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.16Z,3276,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.17Z,3381,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.18Z,3493,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.19Z,3581,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.2Z,3644,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.21Z,3700,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.22Z,3732,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.23Z,3756,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.24Z,3756,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.25Z,3752,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.26Z,3740,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.27Z,3724,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.28Z,3704,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.29Z,3688,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.3Z,3672,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.31Z,3652,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.32Z,3644,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.33Z,3629,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.34Z,3632,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.35Z,3605,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.36Z,3592,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.37Z,3565,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.38Z,3548,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.39Z,3525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.4Z,3492,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.41Z,3465,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.42Z,3440,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.43Z,3401,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.44Z,3376,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.45Z,3336,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.46Z,3304,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.47Z,3269,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.48Z,3232,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.49Z,3201,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.5Z,3177,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.51Z,3148,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.52Z,3116,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.53Z,3061,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.54Z,3021,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.55Z,2981,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.56Z,2949,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.57Z,2921,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.58Z,2888,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.59Z,2840,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.6Z,2784,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.61Z,2745,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.62Z,2693,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.63Z,2644,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.64Z,2609,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.65Z,2572,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.66Z,2552,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.67Z,2537,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.68Z,2533,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.69Z,2532,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.7Z,2536,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.71Z,2532,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.72Z,2528,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.73Z,2524,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.74Z,2529,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.75Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.76Z,2528,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.77Z,2524,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.78Z,2524,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.79Z,2520,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.8Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.81Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.82Z,2528,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.83Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.84Z,2529,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.85Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.86Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.87Z,2529,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.88Z,2536,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.89Z,2528,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.9Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.91Z,2528,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.92Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.93Z,2532,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.94Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.95Z,2528,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.96Z,2537,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.97Z,2528,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.98Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:53.99Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54Z,2532,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.01Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.02Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.03Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.04Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.05Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.06Z,2528,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.07Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.08Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.09Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.1Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.11Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.12Z,2520,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.13Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.14Z,2524,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.15Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.16Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.17Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.18Z,2517,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.19Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.2Z,2524,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.21Z,2520,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.22Z,2521,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.23Z,2524,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.24Z,2520,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.25Z,2524,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.26Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.27Z,2524,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.28Z,2525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.29Z,2537,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.3Z,2584,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.31Z,2692,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.32Z,2792,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.33Z,2893,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.34Z,3048,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.35Z,3244,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.36Z,3444,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.37Z,3572,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.38Z,3656,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.39Z,3753,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.4Z,3816,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.41Z,3897,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.42Z,3941,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.43Z,3969,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.44Z,3985,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.45Z,4000,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.46Z,4016,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.47Z,4012,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.48Z,4001,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.49Z,3981,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.5Z,3945,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.51Z,3893,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.52Z,3844,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.53Z,3784,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.54Z,3732,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.55Z,3681,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.56Z,3632,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.57Z,3589,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.58Z,3525,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.59Z,3484,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.6Z,3445,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.61Z,3401,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.62Z,3361,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.63Z,3316,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.64Z,3281,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.65Z,3240,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.66Z,3185,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.67Z,3141,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.68Z,3089,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.69Z,3025,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.7Z,2965,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.71Z,2921,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.72Z,2868,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.73Z,2792,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.74Z,2737,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.75Z,2677,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.76Z,2633,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.77Z,2609,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.78Z,2572,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.79Z,2553,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.8Z,2545,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.81Z,2533,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.82Z,2528,pH,R
,,0,2022-07-06T15:35:53Z,2022-07-06T15:36:17Z,2022-07-06T15:35:54.83Z,2529,pH,R
