#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.01Z,-287,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.02Z,-154,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.03Z,-231,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.04Z,-116,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.05Z,-213,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.06Z,-183,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.07Z,-185,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.08Z,-221,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.09Z,-214,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.1Z,-160,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.11Z,-116,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.12Z,-115,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.13Z,-79,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.14Z,-59,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.15Z,-31,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.16Z,-8,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.17Z,-11,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.18Z,-26,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.19Z,-33,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.2Z,-17,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.21Z,14,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.22Z,61,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.23Z,94,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.24Z,127,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.25Z,163,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.26Z,304,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.27Z,355,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.28Z,340,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.29Z,341,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.3Z,320,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.31Z,315,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.32Z,282,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.33Z,257,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.34Z,262,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.35Z,253,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.36Z,209,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.37Z,169,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.38Z,149,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.39Z,147,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.4Z,119,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.41Z,81,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.42Z,79,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.43Z,92,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.44Z,108,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.45Z,125,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.46Z,140,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.47Z,175,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.48Z,213,gx,R
,,0,2022-07-06T07:58:14Z,2022-07-06T07:58:47Z,2022-07-06T07:58:14.49Z,240,gx,R
