#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.01Z,769,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.02Z,2174,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.03Z,1502,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.04Z,628,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.05Z,175,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.06Z,155,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.07Z,92,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.08Z,4,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.09Z,-120,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.1Z,-52,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.11Z,-14,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.12Z,-16,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.13Z,-33,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.14Z,-101,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.15Z,-124,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.16Z,-112,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.17Z,-114,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.18Z,-108,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.19Z,-108,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.2Z,-85,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.21Z,-82,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.22Z,-86,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.23Z,-52,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.24Z,-1,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.25Z,2,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.26Z,-9,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.27Z,57,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.28Z,32,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.29Z,39,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.3Z,51,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.31Z,58,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.32Z,53,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.33Z,39,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.34Z,54,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.35Z,51,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.36Z,46,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.37Z,64,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.38Z,54,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.39Z,50,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.4Z,46,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.41Z,20,gz,R
,,0,2022-07-06T08:48:02Z,2022-07-06T08:48:49Z,2022-07-06T08:48:02.42Z,21,gz,R
