#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.01Z,2588,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.02Z,2588,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.03Z,2584,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.04Z,2592,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.05Z,2589,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.06Z,2580,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.07Z,2585,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.08Z,2597,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.09Z,2640,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.1Z,2765,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.11Z,2917,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.12Z,3105,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.13Z,3332,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.14Z,3492,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.15Z,3749,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.16Z,3881,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.17Z,3981,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.18Z,4120,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.19Z,4197,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.2Z,4268,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.21Z,4288,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.22Z,4285,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.23Z,4301,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.24Z,4308,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.25Z,4312,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.26Z,4309,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.27Z,4293,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.28Z,4268,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.29Z,4228,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.3Z,4172,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.31Z,4116,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.32Z,4029,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.33Z,3968,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.34Z,3909,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.35Z,3828,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.36Z,3773,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.37Z,3701,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.38Z,3637,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.39Z,3581,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.4Z,3508,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.41Z,3452,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.42Z,3385,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.43Z,3333,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.44Z,3280,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.45Z,3224,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.46Z,3180,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.47Z,3121,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.48Z,3052,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.49Z,3013,pH,R
,,0,2022-07-18T18:26:16Z,2022-07-18T18:26:22Z,2022-07-18T18:26:16.5Z,2964,pH,R
