#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.01Z,3093,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.02Z,3025,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.03Z,2965,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.04Z,2936,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.05Z,2881,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.06Z,2864,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.07Z,2820,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.08Z,2792,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.09Z,2772,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.1Z,2721,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.11Z,2700,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.12Z,2672,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.13Z,2648,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.14Z,2625,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.15Z,2609,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.16Z,2609,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.17Z,2600,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.18Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.19Z,2597,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.2Z,2589,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.21Z,2596,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.22Z,2597,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.23Z,2589,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.24Z,2588,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.25Z,2588,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.26Z,2584,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.27Z,2580,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.28Z,2576,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.29Z,2580,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.3Z,2577,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.31Z,2572,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.32Z,2569,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.33Z,2569,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.34Z,2565,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.35Z,2572,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.36Z,2565,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.37Z,2561,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.38Z,2569,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.39Z,2568,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.4Z,2576,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.41Z,2577,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.42Z,2588,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.43Z,2597,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.44Z,2608,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.45Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.46Z,2592,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.47Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.48Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.49Z,2600,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.5Z,2604,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.51Z,2597,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.52Z,2597,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.53Z,2600,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.54Z,2588,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.55Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.56Z,2596,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.57Z,2592,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.58Z,2596,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.59Z,2592,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.6Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.61Z,2589,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.62Z,2589,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.63Z,2589,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.64Z,2596,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.65Z,2589,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.66Z,2596,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.67Z,2585,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.68Z,2592,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.69Z,2589,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.7Z,2592,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.71Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.72Z,2596,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.73Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.74Z,2596,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.75Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.76Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.77Z,2592,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.78Z,2593,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.79Z,2589,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.8Z,2596,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.81Z,2588,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.82Z,2584,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.83Z,2592,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.84Z,2589,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.85Z,2585,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.86Z,2589,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.87Z,2604,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.88Z,2640,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.89Z,2744,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.9Z,2856,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.91Z,2969,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.92Z,3136,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.93Z,3281,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.94Z,3476,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.95Z,3605,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.96Z,3725,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.97Z,3829,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.98Z,3912,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:53.99Z,3981,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54Z,4029,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.01Z,4065,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.02Z,4156,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.03Z,4213,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.04Z,4256,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.05Z,4289,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.06Z,4304,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.07Z,4296,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.08Z,4288,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.09Z,4244,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.1Z,4208,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.11Z,4160,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.12Z,4085,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.13Z,4032,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.14Z,3973,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.15Z,3920,pH,R
,,0,2022-07-18T18:34:53Z,2022-07-18T18:35:00Z,2022-07-18T18:34:54.16Z,3857,pH,R
