#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.01Z,3033.52,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.02Z,3029.27,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.03Z,3025.01,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.04Z,3020.73,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.05Z,3016.46,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.06Z,3012.22,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.07Z,3008.02,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.08Z,3003.87,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.09Z,2999.79,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.1Z,2995.67,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.11Z,2991.6,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.12Z,2987.52,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.13Z,2983.54,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.14Z,2979.58,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.15Z,2975.59,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.16Z,2971.61,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.17Z,2967.58,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.18Z,2963.6,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.19Z,2959.72,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.2Z,2955.81,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.21Z,2951.91,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.22Z,2948.11,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.23Z,2944.35,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.24Z,2940.67,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.25Z,2937.1,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.26Z,2933.57,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.27Z,2930.17,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.28Z,2926.95,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.29Z,2923.61,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.3Z,2920.3,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.31Z,2917.06,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.32Z,2913.85,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.33Z,2910.67,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.34Z,2907.44,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.35Z,2904.33,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.36Z,2901.21,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.37Z,2898.16,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.38Z,2895.19,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.39Z,2892.17,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.4Z,2889.17,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.41Z,2886.21,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.42Z,2883.27,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.43Z,2880.36,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.44Z,2877.49,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.45Z,2874.64,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.46Z,2871.83,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.47Z,2869.03,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.48Z,2866.27,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.49Z,2863.53,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.5Z,2860.82,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.51Z,2858.14,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.52Z,2855.48,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.53Z,2852.85,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.54Z,2850.29,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.55Z,2847.67,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.56Z,2845.09,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.57Z,2842.57,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.58Z,2840.11,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.59Z,2837.6,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.6Z,2835.11,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.61Z,2832.69,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.62Z,2830.29,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.63Z,2827.87,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.64Z,2825.52,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.65Z,2823.19,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.66Z,2820.88,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.67Z,2818.63,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.68Z,2816.36,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.69Z,2814.16,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.7Z,2812.14,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.71Z,2810.7,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.72Z,2810.21,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.73Z,2810.99,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.74Z,2813.17,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.75Z,2817.03,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.76Z,2823.03,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.77Z,2830.89,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.78Z,2840.22,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.79Z,2851.07,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.8Z,2862.73,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.81Z,2875.19,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.82Z,2888.2,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.83Z,2901.56,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.84Z,2915.1,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.85Z,2928.83,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.86Z,2942.83,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.87Z,2956.85,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.88Z,2970.68,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.89Z,2984.29,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.9Z,2997.61,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.91Z,3010.44,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.92Z,3022.78,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.93Z,3034.44,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.94Z,3045.47,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.95Z,3055.65,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.96Z,3064.97,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.97Z,3073.61,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.98Z,3081.36,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:26.99Z,3088.48,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27Z,3094.91,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.01Z,3100.36,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.02Z,3105.21,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.03Z,3109.25,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.04Z,3112.67,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.05Z,3115.52,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.06Z,3117.6,pB,R
