#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.01Z,2878.16,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.02Z,2875.26,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.03Z,2872.43,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.04Z,2869.64,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.05Z,2867.11,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.06Z,2865.09,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.07Z,2864.17,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.08Z,2864.54,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.09Z,2865.98,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.1Z,2868.97,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.11Z,2873.97,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.12Z,2880.44,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.13Z,2888.64,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.14Z,2898,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.15Z,2908.19,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.16Z,2919.11,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.17Z,2930.61,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.18Z,2942.75,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.19Z,2955.16,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.2Z,2968.05,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.21Z,2981.46,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.22Z,2995.09,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.23Z,3008.71,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.24Z,3022.19,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.25Z,3035.61,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.26Z,3048.66,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.27Z,3061.26,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.28Z,3073.21,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.29Z,3084.72,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.3Z,3095.6,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.31Z,3105.81,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.32Z,3115.23,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.33Z,3124.04,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.34Z,3132.41,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.35Z,3140.17,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.36Z,3147.33,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.37Z,3153.99,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.38Z,3160.26,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.39Z,3166.1,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.4Z,3171.55,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.41Z,3176.72,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.42Z,3181.6,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.43Z,3186.08,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.44Z,3190.21,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.45Z,3193.91,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.46Z,3197.25,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.47Z,3200.17,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.48Z,3202.62,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.49Z,3204.72,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.5Z,3206.28,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.51Z,3207.3,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.52Z,3207.84,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.53Z,3207.76,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.54Z,3207.09,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.55Z,3205.63,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.56Z,3203.54,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.57Z,3200.94,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.58Z,3197.7,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.59Z,3193.92,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.6Z,3189.68,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.61Z,3184.98,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.62Z,3179.93,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.63Z,3174.54,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.64Z,3169.04,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.65Z,3163.39,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.66Z,3157.84,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.67Z,3152.26,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.68Z,3146.71,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.69Z,3141.2,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.7Z,3135.64,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.71Z,3130.21,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.72Z,3124.79,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.73Z,3119.39,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.74Z,3114,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.75Z,3108.59,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.76Z,3103.27,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.77Z,3098.04,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.78Z,3092.75,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.79Z,3087.51,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.8Z,3082.37,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.81Z,3077.26,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.82Z,3072.25,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.83Z,3067.22,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.84Z,3062.27,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.85Z,3057.36,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.86Z,3052.52,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.87Z,3047.8,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.88Z,3043.13,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.89Z,3038.55,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.9Z,3034.2,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.91Z,3029.86,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.92Z,3025.49,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.93Z,3021.16,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.94Z,3016.86,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.95Z,3012.61,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.96Z,3008.41,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.97Z,3004.24,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.98Z,3000.12,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:09.99Z,2996.09,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10Z,2992.06,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.01Z,2987.99,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.02Z,2983.99,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.03Z,2980.03,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.04Z,2976.16,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.05Z,2972.32,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.06Z,2968.51,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.07Z,2964.76,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.08Z,2961.03,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.09Z,2957.34,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.1Z,2953.73,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.11Z,2950,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.12Z,2946.42,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.13Z,2942.88,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.14Z,2939.37,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.15Z,2935.89,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.16Z,2932.47,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.17Z,2928.99,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.18Z,2925.66,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.19Z,2922.32,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.2Z,2918.95,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.21Z,2915.72,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.22Z,2912.48,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.23Z,2909.24,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.24Z,2906,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.25Z,2902.82,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.26Z,2899.63,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.27Z,2896.51,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.28Z,2893.43,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.29Z,2890.33,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.3Z,2887.31,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.31Z,2884.33,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.32Z,2881.37,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.33Z,2878.65,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.34Z,2876.43,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.35Z,2874.96,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.36Z,2874.54,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.37Z,2875.24,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.38Z,2876.86,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.39Z,2879.57,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.4Z,2883.23,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.41Z,2887.87,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.42Z,2893.72,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.43Z,2900.51,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.44Z,2908.42,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.45Z,2917.07,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.46Z,2926.42,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.47Z,2936.64,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.48Z,2947.48,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.49Z,2959.37,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.5Z,2971.9,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.51Z,2984.91,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.52Z,2998.39,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.53Z,3012.13,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.54Z,3026.05,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.55Z,3039.92,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.56Z,3053.6,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.57Z,3066.94,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.58Z,3079.83,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.59Z,3092.11,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.6Z,3103.92,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.61Z,3115.08,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.62Z,3125.49,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.63Z,3135.16,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.64Z,3144.1,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.65Z,3152.45,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.66Z,3160.22,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.67Z,3167.34,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.68Z,3173.95,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.69Z,3179.97,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.7Z,3185.51,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.71Z,3190.54,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.72Z,3195.07,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.73Z,3199.09,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.74Z,3202.62,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.75Z,3205.72,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.76Z,3208.35,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.77Z,3210.48,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.78Z,3212.17,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.79Z,3213.34,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.8Z,3213.93,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.81Z,3213.99,pB,R
,,0,2022-07-18T19:02:09Z,2022-07-18T19:02:16Z,2022-07-18T19:02:10.82Z,3213.37,pB,R
