#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.01Z,2612,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.02Z,2612,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.03Z,2605,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.04Z,2613,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.05Z,2609,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.06Z,2613,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.07Z,2613,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.08Z,2612,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.09Z,2612,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.1Z,2612,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.11Z,2629,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.12Z,2685,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.13Z,2792,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.14Z,2944,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.15Z,3068,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.16Z,3236,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.17Z,3425,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.18Z,3581,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.19Z,3749,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.2Z,3888,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.21Z,3993,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.22Z,4089,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.23Z,4176,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.24Z,4245,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.25Z,4288,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.26Z,4329,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.27Z,4381,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.28Z,4425,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.29Z,4453,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.3Z,4465,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.31Z,4472,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.32Z,4465,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.33Z,4445,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.34Z,4401,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.35Z,4353,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.36Z,4308,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.37Z,4252,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.38Z,4204,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.39Z,4149,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.4Z,4084,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.41Z,4024,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.42Z,3968,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.43Z,3916,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.44Z,3860,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.45Z,3809,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.46Z,3764,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.47Z,3713,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.48Z,3677,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.49Z,3624,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.5Z,3576,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.51Z,3524,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.52Z,3473,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.53Z,3425,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.54Z,3360,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.55Z,3305,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.56Z,3233,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.57Z,3185,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.58Z,3125,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.59Z,3037,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.6Z,2972,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.61Z,2900,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.62Z,2837,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.63Z,2788,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.64Z,2721,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.65Z,2676,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.66Z,2644,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.67Z,2628,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.68Z,2621,pH,R
,,0,2022-07-18T19:10:30Z,2022-07-18T19:10:37Z,2022-07-18T19:10:30.69Z,2616,pH,R
