#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.01Z,2786.85,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.02Z,2784.35,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.03Z,2781.84,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.04Z,2779.34,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.05Z,2776.87,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.06Z,2774.43,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.07Z,2772.14,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.08Z,2770.26,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.09Z,2769.21,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.1Z,2769.29,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.11Z,2770.76,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.12Z,2773.69,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.13Z,2778.92,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.14Z,2785.85,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.15Z,2794.12,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.16Z,2803.63,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.17Z,2813.84,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.18Z,2824.71,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.19Z,2836.14,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.2Z,2848.03,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.21Z,2860.2,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.22Z,2872.45,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.23Z,2884.92,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.24Z,2897.2,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.25Z,2909.16,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.26Z,2920.76,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.27Z,2931.96,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.28Z,2942.61,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.29Z,2952.64,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.3Z,2962.2,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.31Z,2971.06,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.32Z,2979.27,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.33Z,2986.88,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.34Z,2993.94,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.35Z,3000.44,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.36Z,3006.31,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.37Z,3011.66,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.38Z,3016.39,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.39Z,3020.72,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.4Z,3024.51,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.41Z,3027.72,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.42Z,3030.48,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.43Z,3032.62,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.44Z,3034.3,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.45Z,3035.56,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.46Z,3036.21,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.47Z,3036.13,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.48Z,3035.41,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.49Z,3034.18,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.5Z,3032.37,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.51Z,3030.1,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.52Z,3027.41,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.53Z,3024.21,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.54Z,3020.69,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.55Z,3016.8,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.56Z,3012.72,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.57Z,3008.48,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.58Z,3003.95,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.59Z,2999.43,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.6Z,2994.88,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.61Z,2990.34,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.62Z,2985.84,pB,R
,,0,2022-07-18T18:51:23Z,2022-07-18T18:51:29Z,2022-07-18T18:51:23.63Z,2981.38,pB,R
