#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.01Z,2517,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.02Z,2524,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.03Z,2524,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.04Z,2528,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.05Z,2525,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.06Z,2525,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.07Z,2525,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.08Z,2525,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.09Z,2525,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.1Z,2528,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.11Z,2529,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.12Z,2529,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.13Z,2528,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.14Z,2528,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.15Z,2521,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.16Z,2521,pH,R
,,0,2022-07-18T18:51:59Z,2022-07-18T18:52:05Z,2022-07-18T18:51:59.17Z,2528,pH,R
