#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.01Z,2541,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.02Z,2540,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.03Z,2544,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.04Z,2545,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.05Z,2541,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.06Z,2541,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.07Z,2544,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.08Z,2545,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.09Z,2540,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.1Z,2552,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.11Z,2545,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.12Z,2544,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.13Z,2541,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.14Z,2548,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.15Z,2544,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.16Z,2541,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.18Z,2549,pH,R
,,0,2022-07-06T15:35:08Z,2022-07-06T15:35:14Z,2022-07-06T15:35:08.19Z,2548,pH,R
