#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.01Z,2576,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.02Z,2564,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.03Z,2572,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.04Z,2569,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.05Z,2572,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.06Z,2573,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.07Z,2565,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.08Z,2569,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.09Z,2569,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.1Z,2572,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.11Z,2569,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.12Z,2576,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.13Z,2569,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.14Z,2568,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.15Z,2580,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.16Z,2597,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.17Z,2640,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.18Z,2717,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.19Z,2820,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.2Z,2924,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.21Z,2980,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.22Z,3049,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.23Z,3141,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.24Z,3221,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.25Z,3305,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.26Z,3380,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.27Z,3452,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.28Z,3556,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.29Z,3637,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.3Z,3740,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.31Z,3829,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.32Z,3924,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.33Z,4021,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.34Z,4085,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.35Z,4164,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.36Z,4185,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.37Z,4216,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.38Z,4217,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.39Z,4208,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.4Z,4185,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.41Z,4144,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.42Z,4092,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.43Z,4044,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.44Z,4009,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.45Z,3953,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.46Z,3905,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.47Z,3849,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.48Z,3793,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.49Z,3744,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.5Z,3680,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.51Z,3624,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.52Z,3580,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.53Z,3524,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.54Z,3481,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.55Z,3433,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.56Z,3404,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.57Z,3364,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.58Z,3333,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.59Z,3300,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.6Z,3256,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.61Z,3224,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.62Z,3176,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.63Z,3144,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.64Z,3105,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.65Z,3036,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.66Z,3001,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.67Z,2944,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.68Z,2893,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.69Z,2853,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.7Z,2797,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.71Z,2753,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.72Z,2705,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.73Z,2664,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.74Z,2597,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.75Z,2605,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.76Z,2593,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.77Z,2580,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.78Z,2577,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.79Z,2573,pH,R
,,0,2022-07-18T19:02:43Z,2022-07-18T19:02:50Z,2022-07-18T19:02:43.8Z,2569,pH,R
