#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.01Z,2591,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.02Z,2588,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.03Z,2592,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.04Z,2591,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.05Z,2591,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.06Z,2588,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.07Z,2592,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.08Z,2587,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.09Z,2591,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.1Z,2588,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.11Z,2580,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.12Z,2591,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.13Z,2591,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.14Z,2591,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.15Z,2591,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.16Z,2580,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.17Z,2591,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.18Z,2588,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.19Z,2596,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.2Z,2595,pV,L
,,0,2022-08-07T13:32:07Z,2022-08-07T13:32:08Z,2022-08-07T13:32:07.21Z,2600,pV,L
