#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.01Z,3071.45,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.02Z,3080.41,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.03Z,3089.29,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.04Z,3098.08,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.05Z,3106.71,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.06Z,3115.21,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.07Z,3123.43,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.08Z,3131.4,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.09Z,3139.21,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.1Z,3146.63,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.11Z,3153.64,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.12Z,3160.19,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.13Z,3166.2,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.14Z,3171.71,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.15Z,3176.56,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.16Z,3181.04,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.17Z,3184.8,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.18Z,3187.83,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.19Z,3190.11,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.2Z,3191.61,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.21Z,3192.5,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.22Z,3192.74,pB,R
,,0,2022-07-06T15:46:42Z,2022-07-06T15:46:49Z,2022-07-06T15:46:42.23Z,3192.21,pB,R
