#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.01Z,2512,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.02Z,2516,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.03Z,2516,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.04Z,2517,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.05Z,2537,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.06Z,2609,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.07Z,2716,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.08Z,2849,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.09Z,3053,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.1Z,3285,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.11Z,3489,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.12Z,3629,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.13Z,3701,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.14Z,3765,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.15Z,3841,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.16Z,3901,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.17Z,3937,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.18Z,3968,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.19Z,4009,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.2Z,4025,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.21Z,4037,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.22Z,4044,pH,R
,,0,2022-07-06T15:36:02Z,2022-07-06T15:36:08Z,2022-07-06T15:36:02.23Z,4040,pH,R
